candidate_id,feature_set_name,configuration_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,selected_for_candidate
core_raw__candidate_07,core_raw,conservative_leaf,0.6,0.6190476190476191,0.6190476190476191,0.6388888888888888,0.5476190476190477,0.5897435897435898,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,29,13,19,23,False
core_raw__candidate_07,core_raw,conservative_leaf,0.625,0.6547619047619048,0.6547619047619048,0.696969696969697,0.5476190476190477,0.6133333333333333,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,32,10,19,23,False
core_raw__candidate_07,core_raw,conservative_leaf,0.65,0.6309523809523809,0.6309523809523809,0.6896551724137931,0.47619047619047616,0.5633802816901409,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,33,9,22,20,False
core_raw__candidate_07,core_raw,conservative_leaf,0.675,0.6309523809523809,0.6309523809523809,0.6896551724137931,0.47619047619047616,0.5633802816901409,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,33,9,22,20,False
core_raw__candidate_07,core_raw,conservative_leaf,0.7,0.6190476190476191,0.6190476190476191,0.6785714285714286,0.4523809523809524,0.5428571428571428,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,33,9,23,19,False
core_raw__candidate_07,core_raw,conservative_leaf,0.725,0.5833333333333334,0.5833333333333333,0.64,0.38095238095238093,0.47761194029850745,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,33,9,26,16,False
core_raw__candidate_07,core_raw,conservative_leaf,0.75,0.5833333333333334,0.5833333333333333,0.7058823529411765,0.2857142857142857,0.4067796610169492,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,37,5,30,12,False
core_raw__candidate_07,core_raw,conservative_leaf,0.775,0.5833333333333334,0.5833333333333333,0.8181818181818182,0.21428571428571427,0.33962264150943394,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,40,2,33,9,False
core_raw__candidate_07,core_raw,conservative_leaf,0.8,0.5357142857142857,0.5357142857142857,0.7142857142857143,0.11904761904761904,0.20408163265306123,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,40,2,37,5,False
core_raw__candidate_08,core_raw,wide_feature_sampling,0.2,0.5833333333333334,0.5833333333333333,0.547945205479452,0.9523809523809523,0.6956521739130435,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,9,33,2,40,False
