pr_number,delay_probability,delay_prediction,delay_prediction_confidence,delay_prediction_threshold,delay_prediction_model_name
3101,0.11755565108772513,0,0.8824443489122749,0.75,logistic_candidate_07
3104,0.9889975560205749,1,0.9889975560205749,0.75,logistic_candidate_07
3113,0.09099173649735959,0,0.9090082635026404,0.75,logistic_candidate_07
3129,0.9637995107183902,1,0.9637995107183902,0.75,logistic_candidate_07
3137,0.9857567692606536,1,0.9857567692606536,0.75,logistic_candidate_07
3159,0.8389067423628609,1,0.8389067423628609,0.75,logistic_candidate_07
3173,0.01972831563548904,0,0.980271684364511,0.75,logistic_candidate_07
3183,0.006295869516826551,0,0.9937041304831734,0.75,logistic_candidate_07
3199,0.14832496739599355,0,0.8516750326040065,0.75,logistic_candidate_07
3230,0.0655598003890293,0,0.9344401996109707,0.75,logistic_candidate_07
3236,0.6826011592505363,0,0.3173988407494637,0.75,logistic_candidate_07
3244,0.12282913640445657,0,0.8771708635955434,0.75,logistic_candidate_07
3260,0.9066250835886426,1,0.9066250835886426,0.75,logistic_candidate_07
3274,0.029440708408405358,0,0.9705592915915946,0.75,logistic_candidate_07
3278,0.09834121645126127,0,0.9016587835487387,0.75,logistic_candidate_07
3282,0.12689358257095884,0,0.8731064174290412,0.75,logistic_candidate_07
3290,0.6476877562817481,0,0.35231224371825187,0.75,logistic_candidate_07
3299,0.17439420786245013,0,0.8256057921375499,0.75,logistic_candidate_07
3308,0.21917678285290756,0,0.7808232171470925,0.75,logistic_candidate_07
3321,0.10428319557411263,0,0.8957168044258874,0.75,logistic_candidate_07
3336,0.3121162061693205,0,0.6878837938306794,0.75,logistic_candidate_07
3344,0.978571799434659,1,0.978571799434659,0.75,logistic_candidate_07
3369,0.9293399508095336,1,0.9293399508095336,0.75,logistic_candidate_07
3376,0.15454776469736714,0,0.8454522353026328,0.75,logistic_candidate_07
3381,0.42156373641888306,0,0.5784362635811169,0.75,logistic_candidate_07
3382,0.5037078504071771,0,0.49629214959282286,0.75,logistic_candidate_07
3395,0.06057118228667862,0,0.9394288177133214,0.75,logistic_candidate_07
3401,0.9135007673974482,1,0.9135007673974482,0.75,logistic_candidate_07
3408,0.14111093345293815,0,0.8588890665470619,0.75,logistic_candidate_07
3412,0.9653605918756093,1,0.9653605918756093,0.75,logistic_candidate_07
3425,0.20694836155501706,0,0.7930516384449829,0.75,logistic_candidate_07
3434,0.5149846441184465,0,0.48501535588155353,0.75,logistic_candidate_07
3437,0.9503119391989032,1,0.9503119391989032,0.75,logistic_candidate_07
3456,0.9669490752902061,1,0.9669490752902061,0.75,logistic_candidate_07
3460,0.9902551665291964,1,0.9902551665291964,0.75,logistic_candidate_07
3473,0.9716075069750769,1,0.9716075069750769,0.75,logistic_candidate_07
3479,0.42455874451334774,0,0.5754412554866523,0.75,logistic_candidate_07
3492,0.23925567628201835,0,0.7607443237179816,0.75,logistic_candidate_07
3497,0.20483123660445093,0,0.7951687633955491,0.75,logistic_candidate_07
3517,0.11255311974433255,0,0.8874468802556674,0.75,logistic_candidate_07
3524,0.9455704297888016,1,0.9455704297888016,0.75,logistic_candidate_07
3530,0.9736357036454653,1,0.9736357036454653,0.75,logistic_candidate_07
3537,0.8160194101776505,1,0.8160194101776505,0.75,logistic_candidate_07
3544,0.19910503897660864,0,0.8008949610233913,0.75,logistic_candidate_07
3554,0.0001305942886013468,0,0.9998694057113987,0.75,logistic_candidate_07
3563,0.6693701617350116,0,0.3306298382649884,0.75,logistic_candidate_07
