validation_rank,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,candidate_id,feature_set_name,configuration_name,feature_count,training_seconds,train_accuracy,train_f1,train_roc_auc,accuracy_gap,roc_auc_gap,selected_candidate
14,0.4,0.6785714285714286,0.6785714285714286,0.6271186440677966,0.8809523809523809,0.7326732673267327,0.7210884353741497,0.6710175684396467,0.6181606882787662,0.21366788577709558,20.0,22.0,5.0,37.0,core_raw__candidate_02,core_raw,medium_regularized,35,0.8794539999798872,0.884090909090909,0.8935281837160751,0.9702685950413223,0.20551948051948044,0.24918015966717266,False
15,0.35,0.6547619047619048,0.6547619047619048,0.6,0.9285714285714286,0.7289719626168224,0.719954648526077,0.6742435454295687,0.6155471018982175,0.21301989920411724,16.0,26.0,3.0,39.0,core_raw__candidate_06,core_raw,balanced_subsample,35,1.7567072000238113,0.8590909090909091,0.8755020080321285,0.9740289256198347,0.20432900432900436,0.25407427709375763,False
16,0.325,0.6428571428571429,0.6428571428571428,0.5882352941176471,0.9523809523809523,0.7272727272727273,0.7193877551020408,0.6736245600484074,0.6148964009473842,0.21267991514196838,14.0,28.0,2.0,40.0,core_raw__candidate_04,core_raw,deep_regularized,35,1.1595937000238337,0.8409090909090909,0.8622047244094488,0.9774380165289257,0.19805194805194803,0.2580502614268849,False
17,0.475,0.7023809523809523,0.7023809523809523,0.673469387755102,0.7857142857142857,0.7252747252747253,0.7188208616780045,0.6818228169891041,0.6193062184428949,0.21508594447440973,26.0,16.0,9.0,33.0,core_raw__candidate_05,core_raw,unlimited_leaf_regularized,35,1.174102299963124,0.9,0.9035087719298246,0.9634297520661157,0.1976190476190477,0.24460889038811118,False
18,0.4,0.6785714285714286,0.6785714285714286,0.6271186440677966,0.8809523809523809,0.7326732673267327,0.7182539682539683,0.6735953761984357,0.6184874972521792,0.21431902294014865,20.0,22.0,5.0,37.0,core_log__candidate_05,core_log,unlimited_leaf_regularized,35,1.0324713000445627,0.865909090909091,0.8788501026694046,0.9640909090909091,0.18733766233766236,0.24583694083694085,False
19,0.45,0.6904761904761905,0.6904761904761905,0.6481481481481481,0.8333333333333334,0.7291666666666666,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,23.0,19.0,7.0,35.0,full_approved__candidate_01,full_approved,shallow_regularized,61,0.8824221999966539,0.8409090909090909,0.8516949152542372,0.9223553719008264,0.15043290043290047,0.20523519049493066,False
20,0.375,0.6547619047619048,0.6547619047619048,0.6065573770491803,0.8809523809523809,0.7184466019417476,0.7159863945578231,0.6676158147918607,0.624939299159865,0.21789024407480814,18.0,24.0,5.0,37.0,core_raw__candidate_01,core_raw,shallow_regularized,35,0.8284139999886975,0.7886363636363637,0.8208092485549133,0.9273347107438017,0.13387445887445892,0.2113483161859786,False
21,0.375,0.6666666666666666,0.6666666666666666,0.6206896551724138,0.8571428571428571,0.72,0.7108843537414967,0.6877153481003838,0.6304475473719007,0.22049922327370738,20.0,22.0,6.0,36.0,core_log__candidate_07,core_log,conservative_leaf,35,1.0494955999893136,0.8113636363636364,0.8362919132149902,0.9373347107438016,0.14469696969696977,0.22645035700230487,False
22,0.3,0.6309523809523809,0.6309523809523809,0.582089552238806,0.9285714285714286,0.7155963302752294,0.7091836734693878,0.689197658335673,0.6292119614927109,0.22016820873628,14.0,28.0,3.0,39.0,full_approved__candidate_07,full_approved,conservative_leaf,61,1.0882193999714218,0.7704545454545455,0.8119180633147114,0.9399380165289256,0.13950216450216457,0.2307543430595378,False
23,0.375,0.6547619047619048,0.6547619047619048,0.6031746031746031,0.9047619047619048,0.7238095238095238,0.7063492063492063,0.6550040204662766,0.6297309363561042,0.2199719544860733,17.0,25.0,4.0,38.0,core_log__candidate_01,core_log,shallow_regularized,35,0.9770014000241645,0.7977272727272727,0.8271844660194175,0.9272727272727274,0.14296536796536796,0.22092352092352108,False
24,0.3,0.6190476190476191,0.6190476190476191,0.5735294117647058,0.9285714285714286,0.7090909090909091,0.7046485260770975,0.6893799142370668,0.6303667138476525,0.22058034473555574,13.0,29.0,3.0,39.0,core_raw__candidate_07,core_raw,conservative_leaf,35,1.220368399983272,0.7727272727272727,0.8134328358208955,0.9380578512396694,0.15367965367965364,0.23340932516257196,False
