pr_number,merge_probability,merge_prediction,merge_prediction_confidence,merge_prediction_threshold,merge_prediction_model_name
3128,0.5199339179576089,1,0.5199339179576089,0.425,contributor_neutral_random_forest_tuned
3129,0.8180965124154733,1,0.8180965124154733,0.425,contributor_neutral_random_forest_tuned
3136,0.46206399136192344,1,0.46206399136192344,0.425,contributor_neutral_random_forest_tuned
3137,0.6154667196128004,1,0.6154667196128004,0.425,contributor_neutral_random_forest_tuned
3149,0.264197473377915,0,0.735802526622085,0.425,contributor_neutral_random_forest_tuned
3156,0.48238391281113663,1,0.48238391281113663,0.425,contributor_neutral_random_forest_tuned
3159,0.6791983831760673,1,0.6791983831760673,0.425,contributor_neutral_random_forest_tuned
3173,0.4704272310472624,1,0.4704272310472624,0.425,contributor_neutral_random_forest_tuned
3177,0.3316848347733248,0,0.6683151652266752,0.425,contributor_neutral_random_forest_tuned
3183,0.634973033126887,1,0.634973033126887,0.425,contributor_neutral_random_forest_tuned
3184,0.2196441455873162,0,0.7803558544126838,0.425,contributor_neutral_random_forest_tuned
3192,0.1863988024250282,0,0.8136011975749717,0.425,contributor_neutral_random_forest_tuned
3199,0.8032084468322039,1,0.8032084468322039,0.425,contributor_neutral_random_forest_tuned
3200,0.45999794781199377,1,0.45999794781199377,0.425,contributor_neutral_random_forest_tuned
3205,0.1455213523101458,0,0.8544786476898543,0.425,contributor_neutral_random_forest_tuned
3230,0.7067599781373758,1,0.7067599781373758,0.425,contributor_neutral_random_forest_tuned
3236,0.6641703754631071,1,0.6641703754631071,0.425,contributor_neutral_random_forest_tuned
3238,0.4930759037770775,1,0.4930759037770775,0.425,contributor_neutral_random_forest_tuned
3244,0.8009141097269332,1,0.8009141097269332,0.425,contributor_neutral_random_forest_tuned
3260,0.39168384540938334,0,0.6083161545906166,0.425,contributor_neutral_random_forest_tuned
3267,0.3995672271810428,0,0.6004327728189571,0.425,contributor_neutral_random_forest_tuned
3274,0.6504711604583897,1,0.6504711604583897,0.425,contributor_neutral_random_forest_tuned
3276,0.34556995974356197,0,0.654430040256438,0.425,contributor_neutral_random_forest_tuned
3278,0.8015521518080451,1,0.8015521518080451,0.425,contributor_neutral_random_forest_tuned
3280,0.236689164756556,0,0.763310835243444,0.425,contributor_neutral_random_forest_tuned
3282,0.8337151958570403,1,0.8337151958570403,0.425,contributor_neutral_random_forest_tuned
3290,0.4923547636413277,1,0.4923547636413277,0.425,contributor_neutral_random_forest_tuned
3296,0.23998109335913848,0,0.7600189066408616,0.425,contributor_neutral_random_forest_tuned
3299,0.815612425997449,1,0.815612425997449,0.425,contributor_neutral_random_forest_tuned
3308,0.49175681687351763,1,0.49175681687351763,0.425,contributor_neutral_random_forest_tuned
3309,0.06369994736636744,0,0.9363000526336326,0.425,contributor_neutral_random_forest_tuned
3321,0.5522886648226514,1,0.5522886648226514,0.425,contributor_neutral_random_forest_tuned
3324,0.11299951411772693,0,0.8870004858822731,0.425,contributor_neutral_random_forest_tuned
3333,0.11433950783900372,0,0.8856604921609963,0.425,contributor_neutral_random_forest_tuned
3336,0.5916357027866412,1,0.5916357027866412,0.425,contributor_neutral_random_forest_tuned
3337,0.07733124707930004,0,0.9226687529206999,0.425,contributor_neutral_random_forest_tuned
3338,0.4318890393863738,1,0.4318890393863738,0.425,contributor_neutral_random_forest_tuned
3344,0.5741434036360525,1,0.5741434036360525,0.425,contributor_neutral_random_forest_tuned
3360,0.4432321616682212,1,0.4432321616682212,0.425,contributor_neutral_random_forest_tuned
3369,0.624002502871132,1,0.624002502871132,0.425,contributor_neutral_random_forest_tuned
3376,0.8893543658519073,1,0.8893543658519073,0.425,contributor_neutral_random_forest_tuned
3378,0.1495017378367553,0,0.8504982621632446,0.425,contributor_neutral_random_forest_tuned
3381,0.7251196478098325,1,0.7251196478098325,0.425,contributor_neutral_random_forest_tuned
3382,0.52601541278815,1,0.52601541278815,0.425,contributor_neutral_random_forest_tuned
3386,0.3473162409658912,0,0.6526837590341088,0.425,contributor_neutral_random_forest_tuned
3390,0.28320627565808476,0,0.7167937243419152,0.425,contributor_neutral_random_forest_tuned
3395,0.8328208278119267,1,0.8328208278119267,0.425,contributor_neutral_random_forest_tuned
3397,0.11991499671266204,0,0.880085003287338,0.425,contributor_neutral_random_forest_tuned
3401,0.7159142555678204,1,0.7159142555678204,0.425,contributor_neutral_random_forest_tuned
3405,0.2507284405980168,0,0.7492715594019832,0.425,contributor_neutral_random_forest_tuned
3407,0.3260525400214951,0,0.6739474599785049,0.425,contributor_neutral_random_forest_tuned
3408,0.4900434479575154,1,0.4900434479575154,0.425,contributor_neutral_random_forest_tuned
3412,0.7295755554337384,1,0.7295755554337384,0.425,contributor_neutral_random_forest_tuned
3419,0.3263699358411592,0,0.6736300641588409,0.425,contributor_neutral_random_forest_tuned
3421,0.15213899358818897,0,0.8478610064118111,0.425,contributor_neutral_random_forest_tuned
3425,0.8272667592263795,1,0.8272667592263795,0.425,contributor_neutral_random_forest_tuned
3426,0.3457361311422563,0,0.6542638688577437,0.425,contributor_neutral_random_forest_tuned
3432,0.27646697906235546,0,0.7235330209376445,0.425,contributor_neutral_random_forest_tuned
3434,0.8957011770487311,1,0.8957011770487311,0.425,contributor_neutral_random_forest_tuned
3437,0.5669597457304308,1,0.5669597457304308,0.425,contributor_neutral_random_forest_tuned
3456,0.43827144991059813,1,0.43827144991059813,0.425,contributor_neutral_random_forest_tuned
3458,0.3995536034514502,0,0.6004463965485498,0.425,contributor_neutral_random_forest_tuned
3460,0.754240062134383,1,0.754240062134383,0.425,contributor_neutral_random_forest_tuned
3461,0.1372451282074492,0,0.8627548717925508,0.425,contributor_neutral_random_forest_tuned
3467,0.13187762160535565,0,0.8681223783946443,0.425,contributor_neutral_random_forest_tuned
3473,0.7106188128379798,1,0.7106188128379798,0.425,contributor_neutral_random_forest_tuned
3479,0.825882298746073,1,0.825882298746073,0.425,contributor_neutral_random_forest_tuned
3483,0.1531851153478051,0,0.8468148846521949,0.425,contributor_neutral_random_forest_tuned
3487,0.4644254728951013,1,0.4644254728951013,0.425,contributor_neutral_random_forest_tuned
3488,0.38956080691538025,0,0.6104391930846198,0.425,contributor_neutral_random_forest_tuned
3489,0.18694199805174314,0,0.8130580019482568,0.425,contributor_neutral_random_forest_tuned
3491,0.28711713240632036,0,0.7128828675936796,0.425,contributor_neutral_random_forest_tuned
3492,0.8391536839257542,1,0.8391536839257542,0.425,contributor_neutral_random_forest_tuned
3497,0.8004647277381836,1,0.8004647277381836,0.425,contributor_neutral_random_forest_tuned
3507,0.5446841310819857,1,0.5446841310819857,0.425,contributor_neutral_random_forest_tuned
3510,0.24101123692941143,0,0.7589887630705886,0.425,contributor_neutral_random_forest_tuned
3517,0.410255112951001,0,0.589744887048999,0.425,contributor_neutral_random_forest_tuned
3524,0.39131021732787635,0,0.6086897826721236,0.425,contributor_neutral_random_forest_tuned
3530,0.7992383782928634,1,0.7992383782928634,0.425,contributor_neutral_random_forest_tuned
3537,0.9268812445952829,1,0.9268812445952829,0.425,contributor_neutral_random_forest_tuned
3544,0.5562779555814101,1,0.5562779555814101,0.425,contributor_neutral_random_forest_tuned
