pr_number,was_merged,split,draft,additions,deletions,total_changes,changed_files,commit_count,title_length,body_length,body_word_count,label_count,requested_reviewer_count,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,test_files_changed_iqr_outlier,deletions_iqr_outlier,files_modified_iqr_outlier,additions_iqr_outlier,total_changes_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,files_added_iqr_outlier,changed_files_iqr_outlier,documentation_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,files_removed_iqr_outlier,files_renamed_iqr_outlier,title_length_iqr_outlier,requested_reviewer_count_iqr_outlier,iqr_outlier_feature_count,has_any_iqr_outlier,log1p_body_length,log1p_body_word_count,log1p_additions,log1p_deletions,log1p_total_changes,log1p_changed_files,log1p_commit_count,has_description,has_detailed_description,short_title,very_long_description,change_density_per_file,deletion_ratio,has_zero_code_change,has_multiple_commits,created_day_of_week,created_hour_utc,created_on_weekend
3537,True,train,0.0,1.0,1.0,2.0,1.0,1.0,38.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,2.0,7.0,0.0
3544,True,train,0.0,1.0,1.0,2.0,1.0,1.0,23.0,532.0,85.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278521424165844,4.454347296253507,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,2.0,14.0,0.0
3548,False,train,0.0,1.0,1.0,2.0,1.0,1.0,26.0,588.0,95.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3784261836515865,4.564348191467836,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,5.0,17.0,1.0
3554,True,train,0.0,586.0,2052.0,2638.0,84.0,7.0,13.0,194.0,25.0,0.0,0.0,84.0,27.0,26.0,7.0,2.0,0.0,78.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,5.272999558563747,3.258096538021482,6.375024819828097,7.627057417018934,7.878155336503324,4.442651256490317,2.079441541679836,1.0,0.0,1.0,0.0,31.404761904761905,0.7778620166793025,0.0,1.0,5.0,18.0,1.0
3563,True,train,0.0,45.0,38.0,83.0,5.0,1.0,40.0,12.0,2.0,1.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.5649493574615367,1.0986122886681098,3.828641396489095,3.6635616461296463,4.430816798843313,1.791759469228055,0.6931471805599453,1.0,0.0,0.0,0.0,16.6,0.4578313253012048,0.0,0.0,1.0,22.0,0.0
3567,False,train,0.0,1.0,1.0,2.0,1.0,1.0,46.0,810.0,96.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.698268054115413,4.574710978503383,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,4.0,6.0,0.0
3579,True,train,0.0,20.0,1.0,21.0,3.0,1.0,56.0,850.0,125.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.746412128573375,4.836281906951478,3.044522437723423,0.6931471805599453,3.091042453358316,1.3862943611198906,0.6931471805599453,1.0,1.0,0.0,0.0,7.0,0.0476190476190476,0.0,0.0,0.0,19.0,0.0
3581,False,train,0.0,6.0,2.0,8.0,1.0,2.0,40.0,601.0,94.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.400257445308821,4.553876891600541,1.9459101490553128,1.0986122886681098,2.19722457733622,0.6931471805599453,1.0986122886681098,1.0,1.0,0.0,0.0,8.0,0.25,0.0,1.0,2.0,0.0,0.0
3587,False,train,0.0,61.0,17.0,78.0,3.0,2.0,54.0,969.0,165.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.877296071497429,5.111987788356544,4.127134385045092,2.8903717578961645,4.3694478524670215,1.3862943611198906,1.0986122886681098,1.0,1.0,0.0,0.0,26.0,0.2179487179487179,0.0,1.0,4.0,9.0,0.0
3601,False,train,0.0,2.0,2.0,4.0,1.0,1.0,28.0,809.0,119.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.697034247666484,4.787491742782046,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,4.0,0.5,0.0,0.0,3.0,4.0,0.0
