pr_number,split,merge_delay_target,additions,additions_iqr_outlier,body_length,body_length_iqr_outlier,body_word_count,body_word_count_iqr_outlier,change_density_per_file,changed_files,changed_files_iqr_outlier,commit_count,commit_count_iqr_outlier,configuration_files_changed,configuration_files_changed_iqr_outlier,created_day_of_week,created_hour_utc,created_on_weekend,deletion_ratio,deletions,deletions_iqr_outlier,documentation_files_changed,documentation_files_changed_iqr_outlier,files_added,files_added_iqr_outlier,files_modified,files_modified_iqr_outlier,files_removed,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed,test_files_changed_iqr_outlier,title_length,title_length_iqr_outlier,total_changes,total_changes_iqr_outlier,very_long_description
3395,train,0,1,False,28,False,4,False,2.0,1,False,1,False,0,False,0,20,False,0.5,1,False,1,False,0,False,1,False,0,False,0,False,False,False,True,False,True,False,False,False,0,0,0.6931471805599453,3.367295829986474,1.6094379124341005,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,21,False,2,False,False
3401,train,1,34,False,359,False,35,False,16.75,4,False,2,True,3,True,4,23,False,0.4925373134328358,33,True,1,False,0,False,4,True,0,False,0,False,True,True,True,False,True,True,False,False,5,0,3.555348061489413,5.886104031450156,3.58351893845611,1.6094379124341005,1.0986122886681098,3.5263605246161616,4.219507705176107,0,False,0,False,False,0,False,30,False,67,False,False
3408,train,0,1,False,492,False,62,False,1.0,1,False,1,False,0,False,0,9,False,0.0,0,False,1,False,0,False,1,False,0,False,0,False,False,False,True,True,True,False,False,False,0,1,0.6931471805599453,6.20050917404269,4.143134726391533,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0,False,0,False,False,0,False,41,False,1,False,False
3412,train,1,380,True,1269,False,208,False,31.0,13,True,5,True,2,True,4,11,False,0.0570719602977667,23,True,4,True,2,True,11,True,0,False,0,False,True,True,True,True,True,True,False,True,11,1,5.942799375126701,7.146772179452637,5.342334251964811,2.6390573296152584,1.791759469228055,3.1780538303479458,6.001414877961151,0,False,0,False,False,1,True,19,False,403,True,False
3425,train,1,1,False,174,False,20,False,2.0,1,False,1,False,0,False,2,22,False,0.5,1,False,0,False,0,False,1,False,0,False,0,False,False,False,True,False,False,False,False,False,0,1,0.6931471805599453,5.1647859739235145,3.044522437723423,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,44,False,2,False,False
3434,train,0,72,True,308,False,52,False,28.25,4,False,2,True,0,False,0,20,False,0.3628318584070796,41,True,3,True,0,False,4,True,0,False,0,False,True,False,True,True,True,True,False,False,6,2,4.290459441148391,5.733341276897746,3.970291913552122,1.6094379124341005,1.0986122886681098,3.737669618283368,4.736198448394496,0,False,0,False,False,0,False,28,False,113,True,False
3437,train,1,2,False,129,False,26,False,6.0,1,False,1,False,0,False,4,16,False,0.6666666666666666,4,False,1,False,0,False,1,False,0,False,0,False,True,False,True,False,True,False,False,False,1,0,1.0986122886681098,4.867534450455582,3.295836866004329,0.6931471805599453,0.6931471805599453,1.6094379124341005,1.9459101490553128,0,False,0,False,False,0,False,22,False,6,False,False
3456,train,1,15,False,573,False,91,False,5.0,3,False,2,True,0,False,3,1,False,0.0,0,False,1,False,0,False,3,False,0,False,0,False,True,False,True,True,True,True,False,True,3,0,2.772588722239781,6.352629396319567,4.5217885770490405,1.3862943611198906,1.0986122886681098,0.0,2.772588722239781,0,False,0,False,False,1,True,62,False,15,False,False
3460,train,1,1,False,506,False,78,False,2.0,1,False,1,False,0,False,4,7,False,0.5,1,False,1,False,0,False,1,False,0,False,0,False,True,False,True,True,True,False,False,False,1,1,0.6931471805599453,6.228511003591184,4.3694478524670215,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,50,False,2,False,False
3473,train,1,8,False,197,False,19,False,12.0,1,False,1,False,0,False,2,15,False,0.3333333333333333,4,False,1,False,0,False,1,False,0,False,0,False,True,False,True,False,True,False,False,False,1,1,2.19722457733622,5.288267030694535,2.995732273553991,0.6931471805599453,0.6931471805599453,1.6094379124341005,2.5649493574615367,0,False,0,False,False,0,False,36,False,12,False,False
