pr_number,split,merge_delay_target,additions_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,changed_files_iqr_outlier,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,created_on_weekend,deletions_iqr_outlier,documentation_files_changed_iqr_outlier,files_added_iqr_outlier,files_modified_iqr_outlier,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed_iqr_outlier,title_length_iqr_outlier,total_changes_iqr_outlier,very_long_description,additions,body_length,body_word_count,change_density_per_file,changed_files,commit_count,configuration_files_changed,created_day_of_week,created_hour_utc,deletion_ratio,deletions,documentation_files_changed,files_added,files_modified,files_removed,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,security_sensitive_files_changed,test_files_changed,title_length,total_changes
2685,train,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2879962658501944,-0.22090788036859663,-0.039036464354859614,3.7613080555214258,0.3215884283334881,-0.33462683191989634,-0.34528453656689306,-1.2920954114586618,-1.0487266153334713,-0.12252365223705401,0.905802882438289,0.45299290253362307,-0.11204874765929806,0.5507740627281437,-0.08794999545015139,1.5919409239507083,0.7561764411781836,2.600368877064538,0.5713454064566588,0.7121322492272646,1.4026973021973705,-0.37894499455701275,2.527718678548308,2.482485057158686,-0.13523517560422083,-0.19466400788931726,-1.4188800587733605,1.1314427258781719
2699,train,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7391892232996491,-0.42641820918818973,-0.4526239337236275,0.07777080220944957,1.706892427308514,-0.33462683191989634,4.587351700103008,0.19878390945517868,0.7235627765010261,-1.8517272724804619,-0.1671704272562811,0.7410230717746551,5.365890026795274,0.5507740627281437,-0.08794999545015139,2.8010099801158033,-0.941362508405494,2.316076145778251,0.05782503389012588,0.010678617424183008,2.9113300528977275,-0.37894499455701275,0.5196548225811265,1.9254406191561915,1.5176391928918116,0.4641987880437565,-0.8371822009953231,0.31196516858821344
2719,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.4960068551845272,-0.5839987769348832,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-0.795135637820715,-2.17654713740997,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,-0.6769441308962032,-1.0778014757237373,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,-1.6370167554401245,-0.20039024911350126
2730,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.17821956424753121,-0.5098431941545593,-0.5985959817361338,-0.40168836467971886,-0.07421271423080496,-0.33462683191989634,-0.34528453656689306,0.6957436830931255,-0.4042577455754722,-1.2480537577687005,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.015442263440975964,-0.08794999545015139,-0.4231741696577831,0.7561764411781836,-0.17021762679660601,-2.1507487576923867,-1.8147058509142775,0.3689847723091936,-0.37894499455701275,-0.6678467906597125,-0.37654768361650864,-0.13523517560422083,0.13476739007721963,0.25350128233849684,-0.19456802845779994
2746,train,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.42967381835760904,-0.4574896686573777,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,1.689663230369019,1.3680316462590252,0.30050004083973125,-0.20273860326825577,-0.41109760518947297,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,0.7561764411781836,-0.8458145240015983,0.04140578886030654,-0.006751276671660382,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,0.6897746756720248,-0.20039024911350126
2765,train,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.08538653217430464,-0.39996638468665796,-0.3650407049161237,0.050109696427382146,-0.07421271423080496,-0.33462683191989634,-0.34528453656689306,-0.795135637820715,0.4013283416220266,-1.1512691453556734,-0.17902648592693932,-0.12306743594844094,-0.11204874765929806,-0.015442263440975964,-0.08794999545015139,0.38287186778561344,0.7561764411781836,0.9964254088172807,0.17150731830363974,0.25404627386266954,0.3689847723091936,-0.37894499455701275,0.31432092060604333,0.7643655873109332,-0.13523517560422083,0.13476739007721963,0.47163797900526083,-0.13343471157293627
2793,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.4658924703673987,-0.5207442227961305,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-1.2920954114586618,-1.209843832772971,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,-0.20603614582976368,-0.3086712253412112,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,-0.47362103988404985,-0.20039024911350126
2808,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.5098431941545593,-0.5985959817361338,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-0.795135637820715,0.5624455590615264,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,-2.1507487576923867,-1.8147058509142775,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,-0.8371822009953231,-0.20039024911350126
2834,train,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.42641820918818973,-0.4720868734586284,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,1.689663230369019,-1.5320782676519706,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,0.05782503389012588,-0.06275714897273735,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,0.25350128233849684,-0.20039024911350126
2850,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.4695550306829954,-0.5256099577298807,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,0.6957436830931255,0.8846799939405259,0.30050004083973125,-0.20273860326825577,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,-0.24175953640927628,-0.3408971005331967,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,0.7624869078942795,-0.20039024911350126
