pr_number,was_merged,split,additions,deletions,total_changes,changed_files,commit_count,title_length,body_length,body_word_count,label_count,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,iqr_outlier_feature_count,log1p_body_length,log1p_body_word_count,log1p_additions,log1p_deletions,log1p_total_changes,log1p_changed_files,log1p_commit_count,change_density_per_file,deletion_ratio,created_day_of_week,created_hour_utc,draft,requested_reviewer_count,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,test_files_changed_iqr_outlier,deletions_iqr_outlier,files_modified_iqr_outlier,additions_iqr_outlier,total_changes_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,files_added_iqr_outlier,changed_files_iqr_outlier,documentation_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,files_removed_iqr_outlier,files_renamed_iqr_outlier,title_length_iqr_outlier,requested_reviewer_count_iqr_outlier,has_any_iqr_outlier,has_description,has_detailed_description,short_title,very_long_description,has_zero_code_change,has_multiple_commits,created_on_weekend
2619,0,train,-0.10182850941645721,-0.11077384660104567,-0.10593741124175554,-0.15347915067568513,-0.07824481063198063,-1.0477885984425537,-0.4846159533409783,-0.6130880830950839,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-0.7437797582211084,-0.82556280739995,-0.8870614097166676,-0.5625167073768849,-0.8767395512791257,-0.5383567051862455,-0.32314246870482466,-0.44173539720400995,0.5275215952761285,0.1985764717759862,1.4749134749765134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2622,1,train,-0.08665797630066117,-0.08821453119966516,-0.08756299788564369,-0.04123955018155529,-0.07824481063198063,-0.8523001249522115,-0.5044124414903116,-0.6547459907465402,1.1381650268020076,-0.04123955018155529,-0.1580470784389542,-0.09575505810207449,0.9484073631451279,-0.13392533418289954,-0.09444490577171503,0.06790121554748434,-0.09135431758701307,-0.06346514466983384,0.487941103341647,-1.416346798736402,-1.547211032808428,0.7726682100519553,1.144250766725747,0.9100935366830583,0.746060322396679,-0.32314246870482466,0.006307382790514811,0.6318170530481783,-0.8115235002637127,0.5200896461540525,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2630,1,train,-0.10128670466232163,-0.11004612674938824,-0.10531454977205683,-0.15347915067568513,-0.07824481063198063,-0.26583470448118496,-0.38817152389550835,-0.4464564524892591,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,0.0022395122154622634,-0.025377664293504226,-0.6385569878134462,-0.3156577365802952,-0.5753515812801854,-0.5383567051862455,-0.32314246870482466,-0.37410629833691184,0.5275215952761285,-1.316573486283562,1.4749134749765134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2633,0,train,-0.10182850941645721,-0.11077384660104567,-0.10593741124175554,-0.15347915067568513,-0.07824481063198063,1.1025846099512104,-0.21101833507198725,-0.1131931912776094,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,0.4354234929977618,0.5174942492973426,-0.8870614097166676,-0.5625167073768849,-0.8767395512791257,-0.5383567051862455,-0.32314246870482466,-0.44173539720400995,0.5275215952761285,1.7137264298355344,-0.7530087922758953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2637,1,train,-0.09532685236683033,-0.10131348852949901,-0.09815164287052171,-0.15347915067568513,-0.07824481063198063,0.059979418002718714,-0.5044124414903116,-0.6547459907465402,1.1381650268020076,-0.15347915067568513,-0.1580470784389542,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-1.416346798736402,-1.547211032808428,0.3055622390181148,0.6642149545083453,0.44108358469149583,-0.5383567051862455,-0.32314246870482466,0.403628338634716,0.6060650881661904,1.208676443815685,0.5200896461540525,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2641,0,train,-0.09153421908788133,-0.09403629001292464,-0.0928573203780827,-0.003826350016845344,-0.07824481063198063,0.32063071598984166,-0.36888263800641435,-0.42265193383128413,-0.6697505392372824,-0.003826350016845344,0.8411011185889173,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,0.16097453280883361,-0.09135431758701307,-0.06346514466983384,0.487941103341647,0.073000216454853,0.03461127399553429,0.5540666609213364,0.9752204768522277,0.7210145839740949,1.0016308568302243,-0.32314246870482466,-0.21179646105587646,0.7203101687335535,-1.316573486283562,-0.9121460970796389,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2650,0,train,-0.10020309515405049,-0.11150156645270311,-0.10531454977205683,-0.15347915067568513,-0.07824481063198063,0.38579354048662234,-0.5105036686131833,-0.6666482500755276,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-2.6607436936541022,-2.2057073092032726,-0.32547844223991174,-0.9845249053250537,-0.5753515812801854,-0.5383567051862455,-0.32314246870482466,-0.37410629833691184,-1.5931527127555483,-1.316573486283562,-0.5938714874721519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2652,1,train,-0.10182850941645721,-0.11150156645270311,-0.10624884197660489,-0.15347915067568513,-0.07824481063198063,-0.3309975289779657,-0.5105036686131833,-0.6666482500755276,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-2.6607436936541022,-2.2057073092032726,-0.8870614097166676,-0.9845249053250537,-1.1159646413151367,-0.5383567051862455,-0.32314246870482466,-0.47554994663755895,-1.5931527127555483,-1.316573486283562,1.6340507797802568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2672,0,train,-0.07311285744727186,-0.06638293564994208,-0.07043430746892924,-0.11606595051097518,-0.06061067198861126,-1.0477885984425537,-0.4724334990952347,-0.6071369534305902,-0.6697505392372824,-0.11606595051097518,0.041782560966620086,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.11824541897521418,-0.09135431758701307,-0.06346514466983384,1.3298786934213516,-0.5596686351186885,-0.7684349205639498,1.1441611559280862,1.5379362238229148,1.2847679301834791,0.030006883824063718,0.9851885307800714,1.4518793710747362,0.673774995830037,-1.316573486283562,0.9975015605652829,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2676,1,train,1.7072575646422194,1.5164077417049813,1.6302889355433903,3.662667266124729,-0.07824481063198063,-0.26583470448118496,0.301152345509482,0.8865965923573398,1.1381650268020076,3.662667266124729,1.840249315616789,2.920639843773898,4.489843627223115,7.856196298423989,3.3767998409691242,0.6263411191155799,6.27299647430823,0.9707816573570879,4.69762905374017,0.9186097349594834,1.131897921715549,3.661100751674666,3.7115799248476513,3.564777239115773,5.0003271816361226,-0.32314246870482466,1.3215456222871733,0.10810187826717386,0.1985764717759862,1.1566388653690263,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2682,0,train,-0.10237031417059278,-0.11150156645270311,-0.10656027271145425,-0.19089235084039508,-0.07824481063198063,0.25546789149306093,-0.22979961870084192,-0.15485109892906562,-0.6697505392372824,-0.19089235084039508,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.3043920534979127,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,0.40405760466546836,0.47110952344000306,-1.3118825249109904,-0.9845249053250537,-1.5249226339062658,-1.5099806781924063,-0.32314246870482466,-0.509364496071108,-1.5931527127555483,0.7036264577958357,-0.5938714874721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2685,1,train,0.19128786257088756,0.16139337791883543,0.17902171114540288,0.07100005031257454,-0.07824481063198063,-1.1781142474361153,-0.1501060638432694,0.01773166134125298,1.1381650268020076,0.07100005031257454,-0.1580470784389542,0.09885106459960115,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,0.34712116733153214,-0.09135431758701307,-0.06346514466983384,1.7508474884612037,0.5251074257130217,0.6435430338322017,2.5475359057227958,2.6255817201589213,2.5001852049148554,1.4048912408260767,-0.32314246870482466,3.9203414797238154,0.14131373328998892,-1.316573486283562,-0.9121460970796389,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2699,1,train,0.08238510698963747,-0.10204120838115643,0.0036862074252168864,0.5947848526185138,-0.07824481063198063,-0.6568116514618694,-0.4064452052641237,-0.4881143601407153,-0.6697505392372824,0.5947848526185138,0.24161220037219439,0.19615412595043896,2.7191254951841213,0.8648398698929615,1.2940529929246205,0.34712116733153214,-0.09135431758701307,-0.06346514466983384,3.0137538735807605,-0.07590023791067277,-0.14741266725781116,2.2641989680041714,0.6222100842815667,1.9396366556555282,2.8229099884572597,-0.32314246870482466,0.06065219438014721,-1.4373969726176286,0.1985764717759862,0.8383642557615394,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2719,1,train,-0.10182850941645721,-0.11077384660104567,-0.10593741124175554,-0.15347915067568513,-0.07824481063198063,-1.3736027209264574,-0.4932451917650466,-0.6487948610820464,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-0.935850344318087,-1.3747775224162295,-0.8870614097166676,-0.5625167073768849,-0.8767395512791257,-0.5383567051862455,-0.32314246870482466,-0.44173539720400995,0.5275215952761285,-0.8115235002637127,-2.026107230705843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2730,1,train,-0.09966129039991492,-0.11077384660104567,-0.10469168830235813,-0.07865275034626523,-0.07824481063198063,0.32063071598984166,-0.5105036686131833,-0.6666482500755276,1.1381650268020076,-0.07865275034626523,0.041782560966620086,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.025172101713864917,-0.09135431758701307,-0.06346514466983384,-0.35399648673805756,-2.6607436936541022,-2.2057073092032726,-0.21373587261912344,-0.5625167073768849,-0.37683240049076266,0.43326726781991537,-0.32314246870482466,-0.44173539720400995,-0.8862612767449896,0.7036264577958357,-0.2755968778646649,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2740,0,train,-0.09641046187510148,-0.11150156645270311,-0.10313453462811135,-0.15347915067568513,-0.07824481063198063,0.059979418002718714,-0.4663422719723629,-0.5833324347726152,1.1381650268020076,-0.15347915067568513,-0.1580470784389542,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-0.48854329007520325,-0.5825314243986272,0.21108524257519945,-0.9845249053250537,-0.05882356609686755,-0.5383567051862455,-0.32314246870482466,-0.1374044523020686,-1.5931527127555483,1.208676443815685,0.20181503654656552,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
